"","id","osm_id","pct_census"
"1",1,3391104,0
"2",2,3391107,0
"3",3,3444375,88
"4",4,3444973,7
"5",5,3444974,38
"6",6,3445487,0
"7",7,3445488,0
"8",8,3445574,541
"9",9,3508395,72
"10",10,3508397,61
"11",11,3508399,324
"12",12,3508401,142
"13",13,3508421,389
"14",14,3508424,370
"15",15,3508532,325
"16",16,3508533,238
"17",17,3508535,0
"18",18,3509171,154
"19",19,3509173,466
"20",20,3509730,54
"21",21,3509731,23
"22",22,3511289,0
"23",23,3511572,0
"24",24,3511578,519
"25",25,3512236,3
"26",26,3512364,832
"27",27,3512365,926
"28",28,3526934,0
"29",29,3526939,922
"30",30,3528790,0
"31",31,3528791,334
"32",32,3528793,326
"33",33,3528922,0
"34",34,3533296,249
"35",35,3547081,208
"36",36,3552303,0
"37",37,3563069,0
"38",38,3564780,0
"39",39,3564781,472
"40",40,3567402,165
"41",41,3567769,415
"42",42,3567770,322
"43",43,3567773,56
"44",44,3567775,706
"45",45,3575439,283
"46",46,3578228,0
"47",47,3578237,0
"48",48,3730328,0
"49",49,3730646,141
"50",50,3730665,2
"51",51,3730675,0
"52",52,3730676,14
"53",53,3730677,17
"54",54,3730678,17
"55",55,3730713,29
"56",56,3746648,0
"57",57,3877714,242
"58",58,3877715,0
"59",59,3878224,287
"60",60,3878227,0
"61",61,3878478,41
"62",62,3994825,0
"63",63,4002532,0
"64",64,4002533,0
"65",65,4002538,0
"66",66,4002663,65
"67",67,4002721,65
"68",68,4002737,278
"69",69,4002766,20
"70",70,4002782,148
"71",71,4002783,173
"72",72,4002787,291
"73",73,4003166,234
"74",74,4003170,0
"75",75,4003174,119
"76",76,4003176,0
"77",77,4003180,20
"78",78,4003453,0
"79",79,4012533,156
"80",80,4013204,0
"81",81,4013271,0
"82",82,4013272,0
"83",83,4013279,46
"84",84,4013384,325
"85",85,4013386,0
"86",86,4013399,0
"87",87,4019253,0
"88",88,4019254,0
"89",89,4019255,0
"90",90,4019257,0
"91",91,4019258,0
"92",92,4019259,0
"93",93,4019260,0
"94",94,4019264,0
"95",95,4019278,0
"96",96,4019280,0
"97",97,4019281,0
"98",98,4019282,0
"99",99,4019283,0
"100",100,4019284,0
"101",101,4019285,731
"102",102,4019287,0
"103",103,4019344,4
"104",104,4019354,711
"105",105,4019424,0
