"id","osm_id","width","widthpath"
3,3444375,9.9,10.2
4,3444973,7.5,9.7
5,3444974,8.3,14.8
8,3445574,12.9,12.5
9,3508395,7.4,8.9
10,3508397,13.8,12.9
11,3508399,7.7,10.7
12,3508401,7.1,8.5
13,3508421,9.8,13.8
14,3508424,10.5,14.7
15,3508532,7.7,8.4
16,3508533,8.3,9.3
18,3509171,7.4,11.4
19,3509173,11.3,17
20,3509730,6.1,13
21,3509731,6.1,8.9
24,3511578,8.9,10.5
25,3512236,6.5,10.3
26,3512364,13.3,10.1
27,3512365,NA,NA
29,3526939,NA,NA
31,3528791,4.6,7.1
32,3528793,11.7,2.2
34,3533296,NA,NA
35,3547081,6.7,6.2
39,3564781,9.1,13.1
40,3567402,13.1,14.4
41,3567769,8.6,18.6
42,3567770,9.7,14
43,3567773,8.3,8.9
44,3567775,7.4,13.3
45,3575439,9,NA
49,3730646,7.2,11.1
50,3730665,6.6,14
52,3730676,9.1,11.5
53,3730677,7.7,10.9
54,3730678,7.4,12.9
55,3730713,8.2,9.8
57,3877714,5.6,11.2
59,3878224,9.5,9.5
61,3878478,NA,NA
66,4002663,11.8,10.8
67,4002721,9,13.9
68,4002737,11.1,13.3
69,4002766,NA,NA
70,4002782,11.4,15.7
71,4002783,10.6,13.7
72,4002787,12.9,11.3
73,4003166,8,14.4
75,4003174,8.2,15.3
77,4003180,4.9,6.1
79,4012533,7.1,8.9
83,4013279,6.2,8.8
84,4013384,5.3,6.6
101,4019285,3.8,6.4
103,4019344,16.7,23.8
104,4019354,8.8,11
106,4019478,7.3,12.2
108,4019486,NA,NA
109,4019490,NA,NA
110,4035547,7.1,9.8
112,4036220,6,8.6
114,4036222,7.5,9
116,4036224,6.7,7.9
117,4036231,7.5,10.5
118,4036234,7.4,9.5
120,4067398,9.1,13.2
121,4067402,6.8,9.1
125,4067428,6.1,7.6
126,4067429,NA,NA
128,4067433,7.5,12.2
129,4067628,NA,NA
133,4067642,NA,NA
137,4081677,NA,NA
139,4081680,7.3,10.1
151,4273219,10.8,16.9
152,4273232,5.2,7.8
153,4273233,5.6,7
155,4273238,8.6,6.6
156,4273239,6,9
160,4295492,5.6,7.4
161,4295506,6.2,8
164,4295511,3.9,10.2
165,4295522,8.9,14.7
166,4295523,9.3,11.7
172,4296490,6.5,7.5
178,4296499,5.8,6
184,4301891,5,7.2
187,4302063,NA,NA
192,4308331,7.9,10
196,4308340,8.3,10.2
199,4309560,5.6,8.9
202,4311381,6.7,3.8
203,4311382,3.8,5.3
204,4311385,5.9,8.1
207,4311882,8,11.3
212,4313471,4.9,7.8
219,4313486,3.7,9.6
223,4313494,4.7,6.8
225,4313531,4.6,6.7
230,4313545,6.8,8.2
233,4313562,5.6,10.2
234,4313575,6.9,6.2
238,4313593,4.5,NA
241,4313597,4.4,NA
245,4313602,3.9,5.3
249,4313628,4.9,8.4
251,4313632,7.1,10.7
256,4313682,5.7,9
260,4313691,4.9,7.1
269,4313714,5.2,9
285,4314927,4,5.8
291,4315096,5.6,7.7
292,4315303,NA,NA
293,4315305,7.6,11.1
298,4315574,NA,NA
300,4315782,8.2,11.7
301,4315783,7.6,10.2
304,4315790,NA,NA
305,4315797,8.7,12
306,4315799,9.2,12.5
308,4315828,9.8,16.1
309,4315830,8.5,12.3
311,4315843,8.7,12.1
312,4315844,5.2,5.2
313,4315845,6.9,6.9
314,4315870,NA,NA
315,4315872,8.5,10.7
316,4315876,6,8.2
319,4315882,8.4,9.5
320,4315883,6.8,8.8
321,4315884,5.1,7.7
325,4315889,NA,NA
328,4315899,6.3,8.4
332,4315928,5.8,6.6
333,4315931,6.3,9
334,4315934,5.7,9
335,4315935,6.3,9.2
337,4315943,NA,NA
338,4315947,7.9,11.1
339,4315948,9,15.2
340,4316001,7.8,10.8
341,4316002,5.6,7.3
346,4316136,4,4.8
347,4316137,NA,NA
348,4316138,4.4,9.5
349,4316156,4.9,7.5
350,4316157,8.8,11.6
352,4316178,7.9,11.5
354,4316187,3.2,3.6
356,4316195,NA,NA
357,4316714,NA,NA
360,4316731,6.4,8.9
361,4316732,6.4,8
362,4316734,5.9,7.9
363,4316735,6.5,8.5
370,4317879,9.5,11.7
371,4317883,7.7,9.8
372,4317885,6.3,8.7
375,4319665,6.8,12.8
376,4319670,3.9,5.1
377,4319740,9.4,11.7
386,4322380,7.1,9.3
387,4322381,NA,NA
388,4322383,8.3,11.1
389,4322384,8.9,11.6
391,4323354,5.8,8
392,4323357,7.6,8.7
394,4326422,6.4,9
395,4326423,6.3,8.9
396,4326424,6.4,9.5
398,4326430,4.9,7.9
399,4326431,5.9,7.4
400,4326434,6.5,10.5
404,4329804,NA,NA
405,4329806,7.2,7.2
406,4329807,NA,NA
411,4333476,6,10.1
413,4333488,6,7.8
414,4333489,6.2,8.6
415,4333490,5.9,8.2
416,4333663,7.4,10.5
417,4333664,6.9,10.5
420,4333692,7.6,10.3
421,4333694,5.3,10.2
422,4333695,5.2,10.3
423,4333697,5.4,10.4
425,4335657,7.7,10.5
426,4335659,7.2,10.5
429,4335688,8.9,8.9
431,4335718,8.3,9.5
432,4338348,4.1,4.2
434,4338350,6,6.5
435,4338352,6.3,8
437,4338356,6.4,8.5
438,4338357,NA,NA
445,4338425,5.5,6.5
450,4340886,NA,NA
458,4345235,7.2,11.6
459,4345323,9,10.7
460,4353789,7.7,10.9
461,4353792,9.6,10
469,4358825,6,7.1
480,4360866,4.7,6.8
481,4374865,NA,NA
482,4374866,NA,NA
483,4419165,1.8,1.8
485,4419168,NA,NA
486,4419186,2.1,2
487,4427486,6.3,8.7
488,4427489,8.1,10
489,4427493,6,8.1
490,4427495,3.7,6.1
492,4428588,NA,NA
493,4428593,NA,NA
494,4429022,NA,NA
496,4432293,4,3.9
497,4435374,5.7,7.7
498,4435375,6.2,8.3
499,4435376,6.4,8.7
501,4435378,6.4,8.7
502,4435379,6.1,8.2
503,4435380,8.4,11.1
504,4435381,6.9,9.3
506,4436640,6.2,9.5
507,4436641,6.9,8.8
508,4436644,6.8,9.3
509,4436647,6.9,9.9
510,4436650,7.4,9.8
511,4436651,7.4,10.4
513,4436658,NA,NA
514,4436659,11,15.2
515,4436662,6.9,9.4
518,4436941,6.1,11.8
520,4439154,6.2,8.1
526,4439163,6.3,10.2
527,4439245,5.6,8
529,4439525,7.2,10.6
540,4473214,12,15.7
544,4480276,NA,NA
545,4492056,4.8,7.6
551,4494441,5.7,10.9
553,4494450,5.4,10
556,4494455,4.8,6.9
557,4494458,9.4,11.1
560,4494635,7.3,8
562,4497583,2.5,2.5
564,4498951,6.1,6.9
568,4608658,7.1,8.6
569,4639855,7.7,10.4
570,4652237,7.1,9.8
571,4688583,NA,NA
574,4692295,5.1,7.8
582,4702844,4.4,6.7
586,4703064,5.7,8.3
588,4710363,7.7,10.4
592,4726110,5.9,8.4
598,4740168,5.8,14.5
599,4740171,6.8,9.8
602,4740181,6.1,7.3
603,4740543,12.2,17.3
605,4741127,7.3,9.7
609,4745121,3.6,4.5
612,4745128,5.9,7.3
613,4745130,4,5.9
618,4755445,3.5,11.5
621,4755929,8.7,11.1
626,4756797,10.1,11.4
627,4756800,8,10.4
629,4757131,5.7,8.4
630,4757132,4.4,10.6
631,4757145,9,12
634,4775949,10.3,17.9
638,4809820,NA,NA
642,4809830,6.3,11.9
643,4821067,6,7.2
644,4821069,7.9,9.7
645,4821070,7.3,9.7
647,4821236,7.7,9.5
650,4821241,13.5,2.5
651,4821244,5.5,7.4
652,4821336,6.1,8.5
653,4821337,5.8,6.5
659,4828084,7.6,10.2
660,4828085,7.2,10.3
667,4829006,4.5,8.2
672,4832789,5.5,7.3
673,4832796,NA,NA
674,4832798,NA,NA
677,4850171,5.1,6.7
678,4850172,8,11.5
683,4852994,2.5,2.4
689,4855856,6.1,9
690,4855857,6.3,9
691,4855858,5.1,7.1
694,4855863,5.3,7.2
696,4855866,5.4,10.2
699,4855871,5.5,10.5
702,4855876,5.1,9.3
703,4855878,5.4,10.5
704,4855880,5.3,11.1
705,4855882,NA,NA
707,4857054,6.3,12.5
709,4860963,2.4,2.6
713,4862003,NA,NA
727,4862229,10.5,12.1
730,4862234,NA,NA
731,4862470,NA,NA
750,4866740,9,6.3
751,4866741,8,12.4
752,4866742,8.4,19.7
757,4889926,NA,NA
758,4889927,NA,NA
759,4889929,NA,NA
760,4929114,NA,3.7
761,4930417,6.8,8.2
763,4991721,7.3,13.2
764,4991722,7,10.8
769,4991731,6.8,10.3
770,4991737,6.9,10.5
772,4991866,5.4,9.6
773,4992089,5.2,7.7
774,4992091,NA,NA
775,5000580,6.7,11.9
776,5000582,4.3,9.6
778,5000586,7.8,12.1
780,5063289,6.7,10.6
781,5063292,6.8,9.6
785,5063306,6.9,10.8
789,5067124,5.9,8.5
790,5067126,NA,NA
793,5098537,7.5,10.8
795,5137844,6.1,8.7
797,5137861,5,4.5
800,5173873,9.6,0.9
801,5173874,NA,NA
802,5173876,NA,NA
803,5173877,8.9,11.6
804,5173878,10,11.9
805,5173879,9.8,11.8
809,5173889,9.9,15.4
827,5218534,NA,NA
829,5218544,7,9
842,5552749,5.1,9
848,5552773,7.6,9.3
858,5576264,5.7,6.1
860,5657099,3.6,3.8
861,5657104,NA,NA
868,5847351,NA,NA
874,5847376,5.5,10.4
877,5847384,5.5,7.2
880,5992323,8.2,12.6
884,5992341,5.6,8.8
894,6624486,5.6,8.8
897,6624497,8.3,8.9
902,6624523,6.9,9
911,6624549,7.1,10.8
925,6624683,NA,NA
935,6624748,3.7,8.1
938,7984461,NA,NA
940,7984468,NA,NA
941,7984469,6.4,11.9
959,7984515,7.3,6.9
966,7984549,6.4,6.9
973,7998669,6.7,7.9
975,7998676,6.9,9.1
976,8026098,6.5,9.3
977,8026349,7,10.5
979,8026593,NA,NA
980,8086412,6.2,9.3
982,8094118,8,11
983,8094269,7.2,8.7
985,8094273,6.9,9.8
986,8094287,7.8,10.2
987,8094356,7.6,8.7
988,8094401,7.6,11.4
989,8094402,6.1,9.1
994,8118818,7.3,10
996,8118863,6.9,9.6
999,8132125,NA,NA
1001,8140028,7.2,9.5
1002,8140981,4.4,4.6
1004,8172821,7.2,8.7
1005,8302427,6.1,7.7
1010,8383690,3.2,4.8
1011,8384186,9.9,1.3
1013,8384713,8,8
1014,8385403,7.9,9.9
1018,8386488,8.8,14
1019,8393337,5.6,6.4
1026,8470272,3.4,3.3
1029,8502058,6.2,8.8
1031,8614249,7.6,8.9
1033,9112278,3,2.9
1035,9112817,5.9,8.9
1038,9241774,7.7,10.9
1039,9244120,7.4,10.2
1042,9247410,5.5,8.3
1043,9247712,7.2,8.8
1044,9247788,7.3,10.6
1045,9248175,6.1,9.7
1046,9248480,5.9,11.5
1047,9248520,5.8,8
1048,9249363,6,11.9
1053,9250730,NA,NA
1059,10418306,4.5,6.1
1062,10466311,5.6,10.3
1080,10476582,4.6,7
1083,10476970,7,9
1084,11115021,NA,NA
1088,12344581,4.3,6
1090,12344937,6.2,4.5
1096,12368945,7.3,12
1097,12369206,7.9,10.9
1098,12491823,5.9,8.5
1099,12695757,7.4,7.8
1100,12853072,NA,NA
1102,12853077,6.5,9.6
1103,12853078,NA,NA
1104,12853083,7.6,11.6
1105,12853088,11.6,12.9
1106,12853091,NA,NA
1109,12854786,7.3,9.3
1110,12854787,8.1,10.2
1114,15218455,7.2,10.8
1116,15218484,6.7,10.4
1122,15218548,7,9.5
1127,15244113,9.4,13.4
1132,15261115,6.2,8
1133,15262052,NA,NA
1142,15372715,9.1,13.5
1145,15409670,NA,NA
1151,15506296,8.9,12.7
1153,15506613,NA,NA
1161,15508650,7.7,10.2
1162,15508726,7.6,10.2
1163,15508793,7.1,9.6
1166,15527319,NA,NA
1171,15660268,7.1,10.4
1172,15661121,NA,NA
1173,15661994,4.1,NA
1177,15663398,NA,NA
1178,15718098,NA,NA
1179,15718263,NA,NA
1184,15778447,NA,NA
1185,15778488,NA,NA
1202,15926249,7.7,7.8
1204,16191998,NA,NA
1207,16193185,7,10.4
1208,16193362,NA,NA
1214,16194869,NA,NA
1216,16195368,NA,NA
1219,16196591,6.7,7.1
1243,16755923,5.5,0.8
1261,16761129,5.3,8.3
1264,16762068,6.2,7.4
1266,16762503,7.2,10.3
1267,16763808,5.4,6.3
1269,17202926,7.3,9.4
1270,17207915,NA,NA
1271,17218302,5.9,9.2
1274,19084148,6.1,NA
1283,19228328,6.5,8.8
1286,19228336,6.2,7.7
1287,19750866,NA,NA
1288,19751037,5.9,8.9
1290,19789894,6.2,9.6
1295,20342188,12.8,18
1296,20342189,12.6,15.2
1317,20444934,NA,NA
1320,20446646,1.7,1.6
1322,20874311,5.6,8.5
1323,20874786,7.9,NA
1324,20887852,NA,NA
1326,20888699,2.9,2.9
1348,22634694,NA,NA
1350,22635078,17.5,10.8
1351,22635080,4.9,10.8
1354,22649770,8.5,13.2
1355,22649776,5.9,14.7
1358,22649924,NA,NA
1366,22663247,9.8,0.8
1367,22663248,9.2,16.2
1368,22663249,6.4,8.2
1376,22694512,8.3,12.2
1378,22694519,7,15.5
1381,22700259,5.7,8.3
1384,22700437,7.8,9.9
1388,22700930,7.5,10.3
1391,22700999,6,7.6
1395,22718790,5.9,8.2
1396,22718792,5.8,8.5
1397,22718821,7.5,10.2
1398,22718832,7.6,9.5
1400,22718875,7.8,10.5
1401,22718879,7.4,10.8
1405,22718932,7.5,9.5
1406,22718934,7.2,9.8
1407,22718940,5.9,8.6
1409,22718962,7.8,10.4
1410,22718963,6.8,8.8
1411,22718964,7.4,10.6
1413,22718972,7.5,9.8
1415,22718996,6.9,10
1416,22718998,7.4,10.2
1417,22719002,7.3,10.1
1418,22719006,7.2,10.1
1419,22719010,7.8,10.6
1423,22719087,7.8,9.8
1426,22719154,5.9,8.9
1428,22719163,7,9.7
1430,22719182,4.8,6.9
1431,22719215,6.1,9
1435,22731554,NA,NA
1437,22731611,1.8,NA
1441,22744094,7.2,10.9
1446,22753221,4.8,6.8
1448,22753266,5.1,7.4
1449,22753274,9,11
1450,22753425,NA,NA
1455,22772833,5.2,8
1457,22814583,4.9,5.8
1462,22887882,9.3,13.5
1470,22894441,9.2,13.9
1472,22988935,12.6,17.7
1473,22994339,2.8,4.1
1474,22994358,6.2,6.8
1476,22995236,4.5,6
1486,23352464,5.7,10.7
1487,23352475,4.5,6.9
1488,23352483,4.8,7.2
1489,23352609,5.3,8
1491,23391593,5.6,8.7
1495,23418743,5.5,7.9
1497,23418746,5.5,10.7
1507,23422046,NA,NA
1508,23422047,NA,NA
1509,23422050,NA,NA
1510,23422053,NA,NA
1511,23422055,NA,NA
1513,23425119,NA,NA
1515,23457866,7.3,13.8
1523,23642916,5.2,8.2
1527,23642925,11.6,7.3
1530,23642934,8.1,10
1531,23642937,5.3,7.4
1532,23642939,7.5,10.7
1536,23642946,4.5,9.6
1537,23687078,NA,NA
1539,23695001,6,8.7
1542,23783410,NA,NA
1543,23811898,NA,NA
1544,23888468,7.3,10
1547,23951354,NA,NA
1553,24011237,5.8,7
1554,24011240,6.2,9.5
1555,24011258,NA,NA
1557,24011281,NA,NA
1558,24011291,7.1,10.9
1562,24038011,3.9,8.4
1565,24041613,NA,6.4
1566,24041626,6.4,8.6
1570,24041779,5.8,7.3
1572,24041808,8.6,11.8
1575,24042097,NA,NA
1577,24042805,7.6,10.1
1590,24065166,1.9,1.9
1598,24239164,NA,NA
1602,24239293,8,6.7
1607,24248466,5,8.1
1617,24248484,4.8,8.1
1619,24248487,4.6,6.6
1623,24248495,5.8,11.8
