"","id","osm_id","name","bicycle","cyclestreets_id","cycleway","cycleway.left","cycleway.left.width","cycleway.oneside.width","cycleway.otherside","cycleway.otherside.width","cycleway.right","cycleway.right.width","designation","foot","footway","highway","junction","maxspeed"
"1",1,"3031602","Newmarket Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tertiary",NA,"20 mph"
"2",2,"3128574","Station Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tertiary","approach","30 mph"
"3",3,"3244947","Bateman Street",NA,NA,"opposite_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA
"4",4,"3373068","Queen Edith's Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tertiary",NA,"30 mph"
"5",5,"3374384","Lichfield Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA
"6",6,"3383107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,"70 mph"
"7",7,"3384861","Hobson Street","yes",NA,"opposite_lane",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"unclassified",NA,"20 mph"
"8",8,"3576404","Cambridge Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tertiary","approach","40 mph"
"9",9,"3651125","Cherry Hinton Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tertiary",NA,"30 mph"
"10",10,"3665592",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"public_bridleway","designated",NA,"cycleway",NA,NA
"11",11,"3665594",NA,"designated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"permissive",NA,"cycleway",NA,NA
"12",12,"3665597","Comfrey Court",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"30 mph"
"13",13,"3665599","Clover Court",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"30 mph"
"14",14,"3665604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cycleway",NA,NA
"15",15,"3665613","Mallets Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"16",16,"3665617","Keates Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"17",17,"3665618","Drayton Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"18",18,"3665623","Shepherds Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"19",19,"3665624","Pen Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"20",20,"3665628","Chequers Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"21",21,"3665629","Applewood Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"22",22,"3665631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"23",23,"3665632","The Orchards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"24",24,"3665634","Headington Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"25",25,"3665655","Rectory Terrace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"26",26,"3665658","Love Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"public_footpath","designated",NA,"cycleway",NA,NA
"27",27,"3667017","Mill End Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"28",28,"3667019","High Street",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"29",29,"3667020","Desmond Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"30",30,"3667024","Cherry Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"31",31,"3667031","Sidney Farm Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
"32",32,"3667032","Daws Close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,"20 mph"
